"cell_id","step_ix","simulation_i","sim_time"
"cell211",795,7,460.083333333299
"cell212",916,8,460.083333333299
"cell213",410,4,240.00000000001
"cell214",2254,19,530.083333333295
"cell215",1734,15,170.000000000002
"cell216",52,1,290.000000000004
"cell217",780,7,310.083333333333
"cell218",2703,23,180.000000000003
"cell219",1850,16,120.083333333331
"cell220",539,5,320.08333333333
"cell221",2685,23,0
"cell222",1032,9,410.08333333331
"cell223",2455,21,120.083333333331
"cell224",58,1,350.083333333324
"cell225",1023,9,320.08333333333
"cell226",1027,9,360.083333333321
"cell227",2826,24,200.000000000005
"cell228",1364,12,100.083333333332
"cell229",1301,11,680.00000000003
"cell230",1115,10,30.0833333333332
"cell231",2263,19,620.000000000003
"cell232",1400,12,460.083333333299
"cell233",2594,22,300.000000000002
"cell234",445,4,590.083333333322
"cell235",2870,24,640.000000000012
"cell236",514,5,70.0000000000004
"cell237",2714,23,290.000000000004
"cell238",162,2,180.000000000003
"cell239",1037,9,460.083333333299
"cell240",726,6,982.8
"cell241",1266,11,330.083333333328
"cell242",189,2,450.083333333301
"cell243",2885,24,790.00000000008
"cell244",266,3,10
"cell245",1738,15,210.000000000006
"cell246",1449,12,950.000000000153
"cell247",2598,22,340.083333333326
"cell248",1489,13,140.083333333332
"cell249",1850,16,120.083333333331
"cell250",2332,20,100.083333333332
"cell251",186,2,420.083333333308
"cell252",1502,13,270.000000000008
"cell253",1031,9,400.083333333312
"cell254",1144,10,320.08333333333
"cell255",1902,16,640.000000000012
"cell256",1786,15,690.000000000034
"cell257",2262,19,610.083333333331
"cell258",62,1,390.083333333314
"cell259",1029,9,380.083333333317
"cell260",1034,9,430.083333333305
"cell261",554,5,470.083333333296
"cell262",760,7,110.083333333331
"cell263",1038,9,470.083333333296
"cell264",2262,19,610.083333333331
"cell265",1027,9,360.083333333321
"cell266",28,1,50.0000000000003
"cell267",1498,13,230.000000000009
"cell268",1522,13,470.083333333296
"cell269",1011,9,200.000000000005
"cell270",2519,21,760.000000000066
"cell271",2236,19,350.083333333324
"cell272",406,4,200.000000000005
"cell273",2510,21,670.000000000025
"cell274",1033,9,420.083333333308
"cell275",1024,9,330.083333333328
"cell276",2355,20,330.083333333328
"cell277",640,6,120.083333333331
"cell278",2012,17,530.083333333295
"cell279",1028,9,370.083333333319
"cell280",1565,13,900.00000000013
"cell281",1393,12,390.083333333314
"cell282",1604,14,80.0833333333331
"cell283",2696,23,110.083333333331
"cell284",2152,18,720.000000000048
"cell285",2038,17,790.00000000008
"cell286",398,4,120.083333333331
"cell287",1751,15,340.083333333326
"cell288",1982,17,230.000000000009
"cell289",1024,9,330.083333333328
"cell290",159,2,150.083333333333
"cell291",919,8,490.083333333292
"cell292",194,2,500.083333333289
"cell293",1037,9,460.083333333299
"cell294",676,6,480.083333333294
"cell295",2597,22,330.083333333328
"cell296",1993,17,340.083333333326
"cell297",534,5,270.000000000008
"cell298",2407,20,850.000000000107
"cell299",450,4,640.000000000012
"cell300",1529,13,540.083333333299
"cell301",1732,15,150.083333333333
"cell302",232,2,880.000000000121
"cell303",2131,18,510.083333333287
"cell304",2483,21,400.083333333312
"cell305",2660,22,960.000000000157
"cell306",1724,15,70.0000000000004
"cell307",2340,20,180.000000000003
"cell308",2219,19,180.000000000003
"cell309",1030,9,390.083333333314
"cell310",1987,17,280.000000000006
"cell311",189,2,450.083333333301
"cell312",1271,11,380.083333333317
"cell313",2719,23,340.083333333326
"cell314",888,8,180.000000000003
"cell315",2685,23,0
"cell316",1052,9,610.083333333331
"cell317",225,2,810.000000000089
"cell318",2464,21,210.000000000006
"cell319",1063,9,720.000000000048
"cell320",2225,19,240.00000000001
"cell321",534,5,270.000000000008
"cell322",643,6,150.083333333333
"cell323",1036,9,450.083333333301
"cell324",2099,18,190.000000000004
"cell325",72,1,490.083333333292
"cell326",944,8,740.000000000057
"cell327",1007,9,160.000000000001
"cell328",526,5,190.000000000004
"cell329",880,8,100.083333333332
"cell330",404,4,180.000000000003
"cell331",1521,13,460.083333333299
"cell332",58,1,350.083333333324
"cell333",1600,14,40
"cell334",2135,18,550.083333333304
"cell335",871,8,10
"cell336",2826,24,200.000000000005
"cell337",1975,17,160.000000000001
"cell338",1642,14,460.083333333299
"cell339",2230,19,290.000000000004
"cell340",2706,23,210.000000000006
"cell341",1478,13,30.0833333333332
"cell342",526,5,190.000000000004
"cell343",2478,21,350.083333333324
"cell344",1028,9,370.083333333319
"cell345",1033,9,420.083333333308
"cell346",2595,22,310.083333333333
"cell347",2592,22,280.000000000006
"cell348",1520,13,450.083333333301
"cell349",2342,20,200.000000000005
"cell350",1023,9,320.08333333333
"cell351",399,4,130.083333333331
"cell352",1034,9,430.083333333305
"cell353",2091,18,110.083333333331
"cell354",1029,9,380.083333333317
"cell355",1616,14,200.000000000005
"cell356",2740,23,550.083333333304
"cell357",1056,9,650.000000000016
"cell358",646,6,180.000000000003
"cell359",2584,22,200.000000000005
"cell360",1527,13,520.08333333329
"cell361",1029,9,380.083333333317
"cell362",2357,20,350.083333333324
"cell363",882,8,120.083333333331
"cell364",2637,22,730.000000000053
"cell365",1020,9,290.000000000004
"cell366",413,4,270.000000000008
"cell367",1401,12,470.083333333296
"cell368",773,7,240.00000000001
"cell369",1501,13,260.000000000011
"cell370",2238,19,370.083333333319
"cell371",448,4,620.000000000003
"cell372",1527,13,520.08333333329
"cell373",1052,9,610.083333333331
"cell374",1031,9,400.083333333312
"cell375",187,2,430.083333333305
"cell376",516,5,90.0833333333326
"cell377",1059,9,680.00000000003
"cell378",56,1,330.083333333328
"cell379",2585,22,210.000000000006
"cell380",1749,15,320.08333333333
"cell381",1029,9,380.083333333317
"cell382",2413,20,910.000000000134
"cell383",2577,22,130.083333333331
"cell384",1874,16,360.083333333321
"cell385",897,8,270.000000000008
"cell386",300,3,350.083333333324
"cell387",2085,18,50.0000000000003
"cell388",1519,13,440.083333333303
"cell389",2819,24,130.083333333331
"cell390",1037,9,460.083333333299
"cell391",2120,18,400.083333333312
"cell392",644,6,160.000000000001
"cell393",536,5,290.000000000004
"cell394",1036,9,450.083333333301
"cell395",652,6,240.00000000001
"cell396",180,2,360.083333333321
"cell397",1379,12,250.000000000011
"cell398",1276,11,430.083333333305
"cell399",920,8,500.083333333289
"cell400",909,8,390.083333333314
"cell401",1399,12,450.083333333301
"cell402",2584,22,200.000000000005
"cell403",54,1,310.083333333333
"cell404",181,2,370.083333333319
"cell405",1391,12,370.083333333319
"cell406",759,7,100.083333333332
"cell407",2574,22,100.083333333332
"cell408",2208,19,70.0000000000004
"cell409",389,4,30.0833333333332
"cell410",1848,16,100.083333333332
"cell411",526,5,190.000000000004
"cell412",539,5,320.08333333333
"cell413",1372,12,180.000000000003
"cell414",1908,16,700.000000000039
"cell415",922,8,520.08333333329
"cell416",1737,15,200.000000000005
"cell417",1558,13,830.000000000098
"cell418",412,4,260.000000000011
"cell419",51,1,280.000000000006
"cell420",1327,11,940.000000000148
"cell421",1474,13,0
"cell422",2213,19,120.083333333331
"cell423",1037,9,460.083333333299
"cell424",1120,10,80.0833333333331
"cell425",409,4,230.000000000009
"cell426",1050,9,590.083333333322
"cell427",2020,17,610.083333333331
"cell428",1501,13,260.000000000011
"cell429",888,8,180.000000000003
"cell430",171,2,270.000000000008
"cell431",1561,13,860.000000000112
"cell432",2592,22,280.000000000006
"cell433",2861,24,550.083333333304
"cell434",1135,10,230.000000000009
"cell435",2108,18,280.000000000006
"cell436",1135,10,230.000000000009
"cell437",1522,13,470.083333333296
"cell438",1356,12,20.0833333333333
"cell439",768,7,190.000000000004
"cell440",672,6,440.083333333303
"cell441",1734,15,170.000000000002
"cell442",1008,9,170.000000000002
"cell443",1371,12,170.000000000002
"cell444",1050,9,590.083333333322
"cell445",750,7,10
"cell446",1024,9,330.083333333328
"cell447",2817,24,110.083333333331
"cell448",1266,11,330.083333333328
"cell449",542,5,350.083333333324
"cell450",1034,9,430.083333333305
