"cell_id","step_ix","simulation_i","sim_time"
"cell242",417,5,330.083333333328
"cell243",330,4,380.083333333317
"cell244",1958,22,100.083333333332
"cell245",871,10,270.000000000008
"cell246",965,11,290.000000000004
"cell247",26,1,100.083333333332
"cell248",1249,14,370.083333333319
"cell249",1970,22,220.000000000008
"cell250",1286,14,740.000000000057
"cell251",361,4,690.000000000034
"cell252",457,5,730.000000000053
"cell253",39,1,230.000000000009
"cell254",1220,14,80.0833333333331
"cell255",668,8,80.0833333333331
"cell256",1122,13,20.0833333333333
"cell257",1278,14,660.000000000021
"cell258",2002,22,540.083333333299
"cell259",1916,21,600.083333333327
"cell260",265,3,650.000000000016
"cell261",297,4,50.0000000000003
"cell262",1123,13,30.0833333333332
"cell263",1237,14,250.000000000011
"cell264",395,5,110.083333333331
"cell265",1914,21,580.083333333318
"cell266",1402,16,60.0000000000006
"cell267",1994,22,460.083333333299
"cell268",1252,14,400.083333333312
"cell269",1909,21,530.083333333295
"cell270",754,9,20.0833333333333
"cell271",1488,17,0
"cell272",1782,20,180.000000000003
"cell273",341,4,490.083333333292
"cell274",615,7,470.083333333296
"cell275",1499,17,110.083333333331
"cell276",479,6,30.0833333333332
"cell277",460,5,766.8
"cell278",1418,16,220.000000000008
"cell279",1135,13,150.083333333333
"cell280",354,4,620.000000000003
"cell281",1620,18,400.083333333312
"cell282",432,5,480.083333333294
"cell283",673,8,130.083333333331
"cell284",420,5,360.083333333321
"cell285",2044,23,40
"cell286",1052,12,240.00000000001
"cell287",1242,14,300.000000000002
"cell288",1554,17,660.000000000021
"cell289",1866,21,100.083333333332
"cell290",1147,13,270.000000000008
"cell291",502,6,260.000000000011
"cell292",1305,15,10
"cell293",301,4,90.0833333333326
"cell294",2061,23,210.000000000006
"cell295",1597,18,170.000000000002
"cell296",33,1,170.000000000002
"cell297",383,5,0
"cell298",1440,16,440.083333333303
"cell299",1349,15,450.083333333301
"cell300",667,8,70.0000000000004
"cell301",322,4,300.000000000002
"cell302",605,7,370.083333333319
"cell303",436,5,520.08333333329
"cell304",1342,15,380.083333333317
"cell305",420,5,360.083333333321
"cell306",476,6,0
"cell307",1361,15,570.083333333313
"cell308",241,3,410.08333333331
"cell309",1256,14,440.083333333303
"cell310",1336,15,320.08333333333
"cell311",1227,14,150.083333333333
"cell312",612,7,440.083333333303
"cell313",1500,17,120.083333333331
"cell314",1222,14,100.083333333332
"cell315",857,10,130.083333333331
"cell316",2194,24,620.000000000003
"cell317",344,4,520.08333333329
"cell318",361,4,690.000000000034
"cell319",1926,21,700.000000000039
"cell320",1632,18,520.08333333329
"cell321",1904,21,480.083333333294
"cell322",1172,13,520.08333333329
"cell323",49,1,330.083333333328
"cell324",1027,12,0
"cell325",362,4,700.000000000039
"cell326",330,4,380.083333333317
"cell327",212,3,120.083333333331
"cell328",443,5,590.083333333322
"cell329",1694,19,220.000000000008
"cell330",328,4,360.083333333321
"cell331",532,6,560.083333333309
"cell332",1351,15,470.083333333296
"cell333",1410,16,140.083333333332
"cell334",1151,13,310.083333333333
"cell335",1770,20,60.0000000000006
"cell336",1770,20,60.0000000000006
"cell337",234,3,340.083333333326
"cell338",1405,16,90.0833333333326
"cell339",713,8,530.083333333295
"cell340",1342,15,380.083333333317
"cell341",851,10,70.0000000000004
"cell342",876,10,320.08333333333
"cell343",1247,14,350.083333333324
"cell344",1791,20,270.000000000008
"cell345",1912,21,560.083333333309
"cell346",1361,15,570.083333333313
"cell347",977,11,410.08333333331
"cell348",1237,14,250.000000000011
"cell349",1247,14,350.083333333324
"cell350",634,7,660.000000000021
"cell351",238,3,380.083333333317
"cell352",2050,23,100.083333333332
"cell353",1489,17,10
"cell354",660,8,0
"cell355",1317,15,130.083333333331
"cell356",35,1,190.000000000004
"cell357",1059,12,310.083333333333
"cell358",1777,20,130.083333333331
"cell359",1364,15,600.083333333327
"cell360",1062,12,340.083333333326
"cell361",415,5,310.083333333333
"cell362",1280,14,680.00000000003
"cell363",35,1,190.000000000004
"cell364",887,10,430.083333333305
"cell365",410,5,260.000000000011
"cell366",944,11,80.0833333333331
"cell367",1345,15,410.08333333331
"cell368",2023,22,750.000000000062
"cell369",612,7,440.083333333303
"cell370",1492,17,40
"cell371",1344,15,400.083333333312
"cell372",216,3,160.000000000001
"cell373",1252,14,400.083333333312
"cell374",689,8,290.000000000004
"cell375",618,7,500.083333333289
"cell376",1245,14,330.083333333328
