"cell_id","step_ix","simulation_i","sim_time"
"cell208",693,9,220.000000000008
"cell209",1749,22,250.000000000011
"cell210",26,1,30.0833333333332
"cell211",1082,14,60.0000000000006
"cell212",1169,15,120.083333333331
"cell213",842,11,90.0833333333326
"cell214",1326,17,70.0000000000004
"cell215",1322,17,30.0833333333332
"cell216",1814,23,90.0833333333326
"cell217",1419,18,190.000000000004
"cell218",30,1,70.0000000000004
"cell219",1568,20,60.0000000000006
"cell220",1897,24,110.083333333331
"cell221",185,3,0
"cell222",765,10,130.083333333331
"cell223",121,2,170.000000000002
"cell224",672,9,10
"cell225",1571,20,90.0833333333326
"cell226",1824,23,190.000000000004
"cell227",1735,22,110.083333333331
"cell228",1681,21,380.083333333317
"cell229",1168,15,110.083333333331
"cell230",703,9,320.08333333333
"cell231",1733,22,90.0833333333326
"cell232",1838,23,330.083333333328
"cell233",187,3,20.0833333333333
"cell234",1321,17,20.0833333333333
"cell235",1102,14,260.000000000011
"cell236",1079,14,30.0833333333332
"cell237",1240,16,20.0833333333333
"cell238",1168,15,110.083333333331
"cell239",144,2,400.083333333312
"cell240",1417,18,170.000000000002
"cell241",1345,17,260.000000000011
"cell242",1276,16,380.083333333317
"cell243",1029,13,340.083333333326
"cell244",1176,15,190.000000000004
"cell245",916,12,20.0833333333333
"cell246",304,4,380.083333333317
"cell247",680,9,90.0833333333326
"cell248",26,1,30.0833333333332
"cell249",1899,24,130.083333333331
"cell250",762,10,100.083333333332
"cell251",27,1,40
"cell252",349,5,20.0833333333333
"cell253",106,2,20.0833333333333
"cell254",596,8,60.0000000000006
"cell255",31,1,80.0833333333331
"cell256",917,12,30.0833333333332
"cell257",1371,17,520.08333333329
"cell258",1648,21,50.0000000000003
"cell259",1811,23,60.0000000000006
"cell260",594,8,40
"cell261",1570,20,80.0833333333331
"cell262",1272,16,340.083333333326
"cell263",1571,20,90.0833333333326
"cell264",1005,13,100.083333333332
"cell265",1897,24,110.083333333331
"cell266",357,5,100.083333333332
"cell267",598,8,80.0833333333331
"cell268",512,7,30.0833333333332
"cell269",195,3,100.083333333332
"cell270",243,3,588
"cell271",835,11,20.0833333333333
"cell272",139,2,350.083333333324
"cell273",1895,24,90.0833333333326
"cell274",1321,17,20.0833333333333
"cell275",1810,23,50.0000000000003
"cell276",592,8,20.0833333333333
"cell277",1165,15,80.0833333333331
"cell278",1428,18,280.000000000006
"cell279",441,6,130.083333333331
"cell280",1809,23,40
"cell281",1245,16,70.0000000000004
"cell282",971,12,570.083333333313
"cell283",763,10,110.083333333331
"cell284",921,12,70.0000000000004
"cell285",1569,20,70.0000000000004
"cell286",1092,14,160.000000000001
"cell287",803,10,510.083333333287
"cell288",351,5,40
"cell289",1322,17,30.0833333333332
"cell290",1900,24,140.083333333332
"cell291",284,4,180.000000000003
"cell292",757,10,50.0000000000003
"cell293",1913,24,270.000000000008
"cell294",996,13,10
"cell295",1812,23,70.0000000000004
"cell296",969,12,550.083333333304
"cell297",269,4,30.0833333333332
"cell298",435,6,70.0000000000004
"cell299",1573,20,110.083333333331
"cell300",351,5,40
"cell301",1276,16,380.083333333317
"cell302",685,9,140.083333333332
